nome_curso;modalidade_ensino;ingressantes_2009;ingressantes_2010;ingressantes_2011;ingressantes_2012;ingressantes_2013;ingressantes_2014;ingressantes_2015;ingressantes_2016;ingressantes_2017;ingressantes_2018;concluintes_2009;concluintes_2010;concluintes_2011;concluintes_2012;concluintes_2013;concluintes_2014;concluintes_2015;concluintes_2016;concluintes_2017;concluintes_2018
ADMINISTRACAO - GESTAO DE RECURSOS HUMANOS;Presencial;6.0;;;;;;;;;;32.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACAO;Presencial;13.0;;;;;;;;;;30.0;;;;;;;;;
ADMINISTRACAO - GESTAO DE SISTEMAS DE INFORMACOES;Presencial;86.0;;;;;;;;;;56.0;;;;;;;;;
ADMINISTRACAO - GESTAO DO AGRONEGOCIO;Presencial;40.0;;;;;;;;;;15.0;;;;;;;;;
ADMINISTRACAO - GESTAO EMPRESARIAL;Presencial;7.0;;;;;;;;;;127.0;;;;;;;;;
ADMINISTRACAO - GESTAO EMPRESARIAL  E NEGOCIOS;Presencial;120.0;;;;;;;;;;66.0;;;;;;;;;
ADMINISTRACAO - GESTAO FINANCEIRA;Presencial;4.0;;;;;;;;;;163.0;;;;;;;;;
ADMINISTRACAO - GESTAO HOSPITALAR;Presencial;20.0;;;;;;;;;;55.0;;;;;;;;;
ADMINISTRACAO - GESTAO INDUSTRIAL;Presencial;1.0;;;;;;;;;;110.0;;;;;;;;;
ADMINISTRACAO - GESTAO INTERNACIONAL DE FINANCAS;Presencial;5.0;;;;;;;;;;32.0;;;;;;;;;
ADMINISTRACAO - GESTAO INTERNACIONAL DE NEGOCIOS;Presencial;1.0;;;;;;;;;;40.0;;;;;;;;;
ADMINISTRACAO - GESTAO PUBLICA;Presencial;40.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO - HABILITACAO EM MARKETING;Presencial;2.0;;;;;;;;;;15.0;;;;;;;;;
ADMINISTRACAO - HOTELARIA;Presencial;79.0;;;;;;;;;;50.0;;;;;;;;;
ADMINISTRACAO - INFORMATICA;Presencial;2.0;;;;;;;;;;49.0;;;;;;;;;
ADMINISTRACAO - LINHA DE FORMACAO EM ADMINISTRACAO DE SERVICOS PUBLICOS;Presencial;7.0;;;;;;;;;;93.0;;;;;;;;;
ADMINISTRACAO - LOGISTICA;Presencial;2.0;;;;;;;;;;46.0;;;;;;;;;
ADMINISTRACAO - LOGISTICA E PLANEJAMENTO ESTRATEGICO;Presencial;1.0;;;;;;;;;;13.0;;;;;;;;;
ADMINISTRACAO - LOGISTICA E SERVICOS;Presencial;2.0;;;;;;;;;;67.0;;;;;;;;;
ADMINISTRACAO - LOGISTICA E VAREJO;Presencial;1.0;;;;;;;;;;78.0;;;;;;;;;
ADMINISTRACAO - MARKETING;Presencial;512.0;;;;;;;;;;1536.0;;;;;;;;;
ADMINISTRACAO - MARKETING INTERNACIONAL;Presencial;1.0;;;;;;;;;;35.0;;;;;;;;;
ADMINISTRACAO - MERCADOLOGIA;Presencial;2.0;;;;;;;;;;6.0;;;;;;;;;
ADMINISTRACAO - NEGOCIOS INTERNACIONAIS;Presencial;1.0;;;;;;;;;;3.0;;;;;;;;;
ADMINISTRACAO - PROPAGANDA E MARKETING;Presencial;4.0;;;;;;;;;;97.0;;;;;;;;;
ADMINISTRACAO - RECURSOS HUMANOS;Presencial;103.0;;;;;;;;;;475.0;;;;;;;;;
ADMINISTRACAO - SERVICOS;Presencial;2.0;;;;;;;;;;40.0;;;;;;;;;
ADMINISTRACAO - SISTEMA DE INFORMACAO GERENCIAL;Presencial;1.0;;;;;;;;;;26.0;;;;;;;;;
ADMINISTRACAO - SISTEMAS DE INFORMACAO;Presencial;1.0;;;;;;;;;;11.0;;;;;;;;;
ADMINISTRACAO - SISTEMAS DE INFORMACAO GERENCIAL;Presencial;77.0;;;;;;;;;;29.0;;;;;;;;;
ADMINISTRACAO - TALENTOS HUMANOS;Presencial;1.0;;;;;;;;;;5.0;;;;;;;;;
ADMINISTRACAO AGRONEGOCIO E COOPERATIVISMO;Presencial;38.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO ANCHIETA;Presencial;246.0;;;;;;;;;;136.0;;;;;;;;;
ADMINISTRACAO BACHARELADO;Presencial;60.0;;;;;;;;;;54.0;;;;;;;;;
ADMINISTRACAO BROOKLIN;Presencial;53.0;;;;;;;;;;85.0;;;;;;;;;
ADMINISTRACAO CAMPUS BANGU;Presencial;115.0;;;;;;;;;;14.0;;;;;;;;;
ADMINISTRACAO CAMPUS I REBOUCAS;Presencial;95.0;;;;;;;;;;38.0;;;;;;;;;
ADMINISTRACAO CAMPUS IV NITEROI;Presencial;235.0;;;;;;;;;;145.0;;;;;;;;;
ADMINISTRACAO CAMPUS NOVA AMERICA;Presencial;187.0;;;;;;;;;;130.0;;;;;;;;;
ADMINISTRACAO CAMPUS PENHA;Presencial;50.0;;;;;;;;;;12.0;;;;;;;;;
ADMINISTRACAO CAMPUS VIII RESENDE;Presencial;61.0;;;;;;;;;;65.0;;;;;;;;;
ADMINISTRACAO CCD;Presencial;19.0;;;;;;;;;;27.0;;;;;;;;;
ADMINISTRACAO CCSA;Presencial;155.0;;;;;;;;;;5.0;;;;;;;;;
ADMINISTRACAO CDR;Presencial;58.0;;;;;;;;;;41.0;;;;;;;;;
ADMINISTRACAO CESA;Presencial;21.0;;;;;;;;;;0.0;;;;;;;;;
ADMINISTRACAO CESB - ADMINISTRACAO DE EMPRESAS RURAIS E COOPERATIVAS;Presencial;13.0;;;;;;;;;;18.0;;;;;;;;;
ADMINISTRACAO CESI - ADMINISTRACAO DE EMPRESAS;Presencial;55.0;;;;;;;;;;24.0;;;;;;;;;
ADMINISTRACAO CESTI;Presencial;22.0;;;;;;;;;;0.0;;;;;;;;;
